name,MMSI,IMO,country
SLV 415,273350420,0,Russia
NIKKI,244700721,0,Netherlands
VAN GOGH,211303380,0,Germany
HYDROVAC 1,244670106,0,Netherlands
RUBIKON 35,267210124,0,Slovakia
CHANDRA B,367686920,0,United States (USA)
TOM BURMESTER,211328590,0,Germany
HALTBAKKDIESELBENSI,257231800,0,Norway
NINA,0,9813357,Germany
BRITANIC,211804170,0,Germany
MARIA LOUISE,211318010,0,Germany
POSITIVE 4,272169700,0,Ukraine
MTAPARNA,205362990,0,Belgium
AQUATE,244716806,0,Netherlands
SOMTRANS XXVI,244710230,0,Netherlands
AGNIETA W,244804936,0,Netherlands
DUTCH PRINCESS,244750448,0,Netherlands
ZEELAND,244780045,0,Netherlands
ACIDUM,211480540,0,Germany
TN 623,273327720,0,Russia
STOLT DONAU,205376090,0,Belgium
AURIGA,211510800,0,Germany
RIO Y MAR,205498490,0,Belgium
VERA,244780233,0,Netherlands
VELDEN,244660820,0,Netherlands
MIRADOR,211464830,0,Germany
VALBURG,244710352,0,Netherlands
LEONIE DEYMANN,211511840,0,Germany
DE HOOP 4,244660487,0,Netherlands
EMWATIS,244660419,0,Netherlands
ODESSA,244710899,0,Netherlands
LIBERTY,211509630,0,Germany
TOLERANTIE,244670697,0,Netherlands
VOLGONEFT 119,273426910,8942527,Russia
KOEPENICK,211517120,0,Germany
FREYJA,211594440,0,Germany
MARSHAL 2 T BARGE,279202664,0,Serbia
CALCIT 9,244670824,0,Netherlands
CARGO,264162479,0,Romania
BRUNELLO,253242407,0,Luxembourg
BUREKI,455451000,0,Maldives
ENDURANCE,244830185,0,Netherlands
SYNTHESE 12,244660499,0,Netherlands
TATLISUM,271002181,0,Turkey
VASCO DA GAMA,211268380,0,Germany
STOLT FILIA,244700202,0,Netherlands
MARINE UNITY SB681D,563017480,0,Singapore
MARGRET DEYMANN,211645510,0,Germany
TN 718,273355980,0,Russia
ARISTOTELT81523,264163156,0,Romania
YEE LEE 8,477996086,0,Hong Kong
GERVAIS,211787250,0,Germany
GAS 89,211549500,0,Germany
VIKING,244750375,0,Netherlands
AMPHIRO,244660252,0,Netherlands
TARIUS,244660789,0,Netherlands
ELAY,244780213,0,Netherlands
EILTANK 21,211494200,0,Germany
HYDROVAC 2,244740491,0,Netherlands
RIVER PRIDE,244700830,0,Netherlands
RP BRUGGE,269057378,0,Switzerland
ROMY,244690223,0,Netherlands
INVADO,244921844,0,Netherlands
ST.EUSTATIUS,0,9654610,Netherlands
VOJA,244670002,0,Netherlands
SYNTHESE 2,244020721,0,Netherlands
ESLABON,244780231,0,Netherlands
CHINOOK,244660415,0,Netherlands
GAS 90,211617950,0,Germany
DETTMER TANK 47,211177630,0,Germany
MARMARA,244740961,0,Netherlands
PRIMERA,253242337,0,Luxembourg
EVROS,311000501,0,Bahamas
KAIYO MARU,431005329,0,Japan
AMSTELKADE,244700203,0,Netherlands
DUTCH PETROL,244690363,0,Netherlands
EILTANK26,211429160,0,Germany
JESSICA,211544850,0,Germany
CONTERNO,244013087,0,Netherlands
SILKE,211298290,0,Germany
PORTLAND,211821210,0,Germany
OTTER,244139023,0,Netherlands
BERGSE DIEP,244740404,0,Netherlands
DA MING 3,477996296,0,Hong Kong
PIZ SARDONA,244810599,0,Netherlands
MT 3,273317380,0,Russia
LUISE DEYMANN,211511770,0,Germany
SHUN ON,477996297,0,Hong Kong
ROJANA,211739780,0,Germany
ZVEZDA BALTIKI,273315940,0,Russia
ST 17,273357710,0,Russia
MY WAY,211749250,0,Germany
TEMPTATION,211455520,0,Germany
VOLHARDING 8,244710873,0,Netherlands
JUPITER,253242295,0,Luxembourg
KOLIN 7,271044432,0,Turkey
UNION VIII,244047386,0,Netherlands
ESTRELLA,269057355,0,Switzerland
MAINFRANKEN,211756140,0,Germany
BERINGZEE,244830366,0,Netherlands
ANTVERPIA,205515690,0,Belgium
LARS,244620654,0,Netherlands
MIDWAY,244650593,0,Netherlands
KOLIN 2,271043116,0,Turkey
RPG BRISTOL,269057620,0,Switzerland
HERTA,211564050,0,Germany
EILTANK 84,211275880,0,Germany
WALSRODE,211696830,0,Germany
BELFORT,205208690,0,Belgium
EILTANK 66,211551260,0,Germany
DETROIT,244181030,0,Netherlands
GUADELOUPE,244860721,0,Netherlands
SERDON,244660715,0,Netherlands
LEONORE,0,9569188,Netherlands
GALAPAGOS,211665160,0,Germany
RICKY M,0,9321081,Netherlands
CLOVER,563033760,0,Singapore
SOMTRANS XI,205085300,0,Belgium
SPEELMAN,244660067,0,Netherlands
SOVEREIGN,244170263,1523712,Netherlands
OT 2117BN T 01,273336520,0,Russia
COLORADO,244094180,0,Netherlands
MARION,211514340,0,Germany
DINA,211253890,0,Germany
AKGLOBAL 3,271043277,0,Turkey
JOSEF JAEGERS,211500430,0,Germany
KALAHARI,244700905,0,Netherlands
AYASOFYA,211788670,0,Germany
CARITAS KVB,253242395,0,Luxembourg
WESTSTELLINGWERF,244020943,0,Netherlands
NEW YORK,205479890,0,Belgium
BORKUM,211149890,0,Germany
DETTMER TANK 126,211785530,0,Germany
ONERI,244041097,0,Netherlands
NINA,211785210,0,Germany
OCEAN INVESTOR,674200964,0,Tanzania
SPANGEN,0,9570785,Netherlands
