lon,lat,speed,timestamp,course,mmsi,source_port,dest_port
103.76095,1.29031,0.1 Knots,2022-09-25 00:55,---,565173000,singapore,singapore
23.54465,37.94678,-1,2022-08-31 06:42,---,240736000,greece,PIRAEUS
103.79783,1.23330,0.4 Knots,2022-09-25 00:55,---,565102000,singapore,SINGAPORE
103.76089,1.29023,0.1 Knots,2022-09-25 00:55,---,565243000,singapore,singapore
104.08867,1.30138,6.5 Knots,2022-07-09 04:48,93.5,565727000,singapore,AEPB
103.93831,1.29391,0.2 Knots,2022-09-25 00:54,---,563338000,singapore,AEPB
5.21707,60.40387,0.1 Knots,2022-09-25 00:55,351,258018390,norway,KLAMPAVIK
7.76614,63.11716,-1,2022-09-25 00:53,179,259005800,norway,norway
14.26517,40.84450,-1,2022-09-25 00:04,---,247074100,italy,italy
134.80115,34.73500,0.2 Knots,2022-09-25 00:55,184,431015453,japan,japan
114.15712,22.31679,-1,2022-08-04 02:55,---,477995927,hong-kong,hong-kong
-5.36330,36.14710,0.2 Knots,2022-09-24 00:27,---,236111602,gibraltar,gibraltar
28.90406,40.97543,8.8 Knots,2022-09-22 15:24,75.9,271043008,turkey,Unknown
24.02168,35.62864,9.7 Knots,2022-09-25 00:10,177.2,240388000,greece,greece
---,---,-1,,---,525005264,Unknown,Unknown
103.84286,1.19151,7.7 Knots,2022-09-15 00:59,245.7,631968000,Unknown,VARIABLE
14.41335,45.33302,-1,2022-07-13 19:51,---,238148440,croatia,croatia
140.50037,35.28816,7.8 Knots,2022-09-25 00:55,27,432396000,japan,japan
26.99283,36.94998,-1,2022-03-31 12:08,---,239191300,greece,greece
-76.45409,24.11333,6 Knots,2022-06-15 15:22,132.9,312785000,bahamas,CLIFTON   PIER N.P
34.65874,36.80109,-1,2022-09-25 00:55,---,271001175,turkey,turkey
120.71358,14.44247,4.9 Knots,2019-11-07 16:39,229.8,548370200,philippines,philippines
134.30221,34.41729,12.5 Knots,2022-09-21 08:29,257.8,431001062,japan,&gt;JP KNE OFF
103.72168,1.22572,-1,2022-09-25 00:55,337,563030850,singapore,Unknown
103.95349,1.29872,-1,2022-09-24 18:12,240,563034430,singapore,AEPB
103.71794,1.22091,-1,2022-09-25 00:43,325,563029230,singapore,AEPB
103.94041,1.29655,0.1 Knots,2022-09-25 00:55,336,563033240,singapore,SINGAPORE
103.72595,1.21899,-1,2022-09-25 00:32,332,563033250,singapore,ASPP
103.79618,1.23896,0.1 Knots,2022-09-25 00:53,311,563029220,singapore,AWPA
36.43022,45.27117,-1,2019-08-27 19:01,51,273355840,ukraine,ukraine
114.10692,22.36754,0.2 Knots,2022-09-22 00:25,---,477601000,hong-kong,hong-kong
23.55542,37.96068,0.1 Knots,2021-09-05 18:00,---,241112000,greece,greece
4.99802,43.40368,-1,2022-09-25 00:51,93,228003800,france,FRLAV
